qid,question,question_context,no_rag_llm_answer,no_rag_f1,no_rag_precision,no_rag_recall
5ad4ea425b96ef001a10a629,What chronic conditions can cause sleep deprivation?,"can be affected through the disturbance of natural light and dark cycles through instances of sleep deprivation, shift work, etc. As a result, these disruptions can lead to an increase in chronic conditions such as heart disease, chronic pain, and asthma. during sleep times could actively counteract free radical production during this time. pneumonia, some heart disorders (congestive heart failure), some disorders that cause increased pulmonary artery pressure, and any disease that impairs the body's ability to take up and use gaseous oxygen.","Chronic pain, diabetes, high blood pressure, and asthma.",0.0,0.0,0.0
57261f9f271a42140099d4aa,US is concerned about confrontation of the Middle East with which other country?,"would distract Germany from its central interest, Europe itself. also operates or has affiliates in other parts of the world, including North Africa and South Asia. torture and mass imprisonment of the opposition, and an intensification of the long-running war in southern Sudan, once in power. The NIF regime also harbored Osama bin Laden for a time (before 9/11), and worked to unify Islamist opposition to the American attack on Iraq in the 1991 Gulf War.","Iran, due to tensions over nuclear program.",0.0,0.0,0.0
5ad40a0e604f3c001a3fff7a, Which religion did Kublai reject?,"named Jingshi Dadian (Chinese: 經世大典). Tugh Temür supported Zhu Xi's Neo-Confucianism and also devoted himself in Buddhism. as Great Khan. Civil strife had permanently divided the Mongol Empire. an example is Tugh Temur (Emperor Wenzong), who wrote poetry, painted, read Chinese classical texts, and ordered the compilation of books.","Taoism, he converted to Buddhism later.",0.0,0.0,0.0
571cd88ddd7acb1400e4c18e,What is the type of oxygen production for emergency oxygen in airlines?,"supply of gaseous oxygen to be pumped through a pipeline. This is known as pressure swing adsorption. Oxygen gas is increasingly obtained by these non-cryogenic technologies (see also the related vacuum swing adsorption). 2 partial pressure of about 21 kPa. This is not a problem except for patients on mechanical ventilators, since gas supplied through oxygen masks in medical applications is typically composed of only 30%–50% O
2 by volume (about 30 kPa at standard pressure). (although this figure also is subject to wide variation, depending on type of mask). 2 is usually obtained by the fractional distillation of liquefied air. Liquid oxygen may also be produced by condensation out of air, using liquid nitrogen as a coolant. It is a highly reactive substance and must be segregated from combustible materials.",Liquid Oxygen (LOX) or Compressed Oxygen.,25.0,16.666666666666664,50.0
5ad4e61e5b96ef001a10a5b0,What is an autoimmune disease that mostly strikes men?,"in many autoimmune and infectious diseases, but may also involve contact dermatitis (poison ivy). These reactions are mediated by T cells, monocytes, and macrophages. also act as scavengers, ridding the body of worn-out cells and other debris, and as antigen-presenting cells that activate the adaptive immune system. male sex hormones such as testosterone seem to be immunosuppressive. Other hormones appear to regulate the immune system as well, most notably prolactin, growth hormone and vitamin D.","Guillain-Barré syndrome, a rare disorder affecting men more often.",0.0,0.0,0.0
572fe288a23a5019007fcada,What is the Rhine called in Dutch?,"bij Duurstede, the Nederrijn changes its name and becomes the Lek. It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea. Century fundamentally. Currently Rhine water runs into the sea, or into former marine bays now separated from the sea, in five places, namely at the mouths of the Nieuwe Merwede, Nieuwe Waterway (Nieuwe Maas), Dordtse Kil, Spui and IJssel. only a few metres high, prevents it from flowing into the open Seeztal valley and then through Lake Walen and Lake Zurich into the river Aare. The Alpine Rhine begins in the most western part of the Swiss canton of Graubünden, and later forms the border between Switzerland to the West and Liechtenstein and later Austria to the East.","The Rhine is called ""Rijn"" in Dutch.",28.57142857142857,16.666666666666664,100.0
5726e08e5951b619008f8110,What responsibilities were pharmacy technicians formerly limited to?,"technicians while the pharmacist spends more time communicating with patients. Pharmacy technicians are now more dependent upon automation to assist them in their new role dealing with patients' prescriptions and patient safety issues. is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization. with patients, under the banner of ""senior care pharmacy.""","Counting medications, labeling prescriptions, and answering patient questions.",20.0,12.5,50.0
57306797396df919000960ee,A forced trade agreement between two countries would be an example of what?,"over territories formally. This is because, with informal rule, the control is spread more subtly through technological superiority, enforcing land officials into large debts that cannot be repaid, ownership of private industries thus expanding the controlled area, or having countries agree to uneven trade agreements forcefully. as empires due to their political and economic authority over other nations. of domination and subordination organised with an imperial center and a periphery.",A forced trade agreement is a form of protectionism.,0.0,0.0,0.0
57274712708984140094dbae,What are private schools that charge no tuition called?,"and computers. Some private schools are boarding schools and many military academies are privately owned or operated as well. to hundreds of millions of dollars supplemented by fundraising drives. Boarding schools with a reputation for quality in the United States have a student body drawn from throughout the country, indeed the globe, and a list of applicants which far exceeds their capacity. schools in Australia are always more expensive than their public counterparts.[citation needed]","They're called ""scholarship schools"" or ""tuition-free schools"".",25.0,14.285714285714285,100.0
57286192ff5b5019007da1df,What does Yeke Mongghul Ulus mean?,"terms can also refer to the khanate within the Mongol Empire directly ruled by Great Khans before the actual establishment of the Yuan dynasty by Kublai Khan in 1271. as Great Khan. Civil strife had permanently divided the Mongol Empire. There were 4 Han Tumens and 3 Khitan Tumens, with each Tumen consisting of 10,000 troops. The three Khitan Generals Shimobeidier (石抹孛迭兒), Tabuyir (塔不已兒) and Xiaozhacizhizizhongxi (蕭札刺之子重喜) commanded the three Khitan Tumens and the four Han Generals Zhang Rou, Yan Shi, Shi Tianze, and Liu Heima commanded the four Han tumens under Ogödei Khan.",Inner Mongolia Autonomous Region in China's official name.,0.0,0.0,0.0
5733e5a14776f4190066145f,"According to agreement between Iroquois and British, where was a strong house to be built?","fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent. and ultimately Quebec. Though the British were later defeated at Sainte Foy in Quebec, the French ceded Canada in accordance with the 1763 treaty. and block French expansion. When Clinton did not respond to his satisfaction, Chief Hendrick said that the ""Covenant Chain"", a long-standing friendly relationship between the Iroquois Confederacy and the British Crown, was broken.",Niagara River area.,28.571428571428577,33.33333333333333,25.0
5730a40f396df91900096237,What happened to the East India Trading Company in 1767?,"had set up trading posts in India. In 1767 political activity caused exploitation of the East India Company causing the plundering of the local economy, almost bringing the company into bankruptcy. fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent. The plan that the delegates agreed to was never ratified by the colonial legislatures nor approved of by the crown. Nevertheless, the format of the congress and many specifics of the plan became the prototype for confederation during the War of Independence.",The East India Trading Company was nationalized by Britain.,0.0,0.0,0.0
570d4329fed7b91900d45dda,How much did the population of Victoria increase in ten years after the discovery of gold?,"gold nugget. Victoria produced in the decade 1851–1860 20 million ounces of gold, one third of the world's output[citation needed]. in New South Wales. However, there was a riot at Buckland Valley near Bright in 1857. Conditions on the gold fields were cramped and unsanitary; an outbreak of typhoid at Buckland Valley in 1854 killed over 1,000 miners. a short time, the Imperial Parliament granted Victoria responsible government with the passage of the Colony of Victoria Act 1855. Some of the leaders of the Eureka rebellion went on to become members of the Victorian Parliament.","From 38,000 to 53,000 people, a 40% rise.",20.0,14.285714285714285,33.33333333333333
571cb27fdd7acb1400e4c132,What group of scientists seek to measure the amounts of oxygen in marine animals?,"range. These studies can also give useful information about pathways for metamorphism through pressure, temperature, space, and time. statistical investigation has not suggested the function of ctenophores' bioluminescence nor produced any correlation between its exact color and any aspect of the animals' environments, such as depth or whether they live in coastal or mid-ocean waters. bounds on the timing and rates of deposition. Magnetic stratigraphers look for signs of magnetic reversals in igneous rock units within the drill cores. Other scientists perform stable isotope studies on the rocks to gain information about past climate.",Marine ecologists or physiologists typically study this topic.,0.0,0.0,0.0
5737898f1c45671900574497,What theory accounted for the Mercury problem?,"(GR) he turned his attention to the problem of Mercury's orbit and found that his theory added a correction, which could account for the discrepancy. This was the first time that Newton's Theory of Gravity had been shown to be less correct than an alternative. and led directly to a complete description of the electromagnetic spectrum. law as an equality; the relative units of force and mass then are fixed.",The General Relativity Theory by Albert Einstein.,60.0,50.0,100.0
5a6ceec84eec6b001a80a6f4,What is not included in Medication Therapy Management?,"patients. Such services include the thorough analysis of all medication (prescription, non-prescription, and herbals) currently being taken by an individual. The result is a reconciliation of medication and patient education resulting in increased patient health outcomes and decreased costs to the health care system. dose, route, frequency, and duration of therapy) and its efficacy. The pharmacist must also monitor for potential drug interactions, adverse drug reactions, and assess patient drug allergies while designing and initiating a drug therapy plan. is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization.",Medication therapy management does not include diagnosis.,0.0,0.0,0.0
571c4132dd7acb1400e4c0b0,What chemical did Priestley use in his experiments on oxygen?,"titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery. of oxygen gas is then produced by the exothermic reaction. liquified in stable state for the first time on March 29, 1883 by Polish scientists from Jagiellonian University, Zygmunt Wróblewski and Karol Olszewski.",Joseph Priestley used Mercuric oxide.,57.14285714285715,40.0,100.0
57377862c3c5551400e51ef3,What occurs when traveling across a surface at a constant velocity with regard to friction?,"friction increases or decreases in response to the applied force up to an upper limit determined by the characteristics of the contact between the surface and the object. to move with a non-zero velocity. Aristotle misinterpreted this motion as being caused by the applied force. However, when kinetic friction is taken into consideration it is clear that there is no net force causing constant velocity motion. Inertia therefore applies equally well to constant velocity motion as it does to rest.",No net force acts on the object.,0.0,0.0,0.0
5727ef664b864d1900164063,What system has an impact on income inequality?,"inequality-associated effects support economic growth. and thus have a more positive impact on economic growth. transparency guarantees, and protective security to ensure that people aren’t denied their functionings, capabilities, and agency and can thus work towards a better relevant income.",Taxation and education systems.,0.0,0.0,0.0
5acf941b77cf76001a685332,The college's University is divided into how many divisions?,"and the New Collegiate Division. The first four are sections within their corresponding graduate divisions, while the New Collegiate Division administers interdisciplinary majors and studies which do not fit in one of the other four divisions. enrolls approximately 5,000 students in the College and around 15,000 students overall. and computers. Some private schools are boarding schools and many military academies are privately owned or operated as well.",The college has 4 main academic divisions.,0.0,0.0,0.0
5729081d3f37b31900477fac,What are the most abundant kind of phagocyte?,"also act as scavengers, ridding the body of worn-out cells and other debris, and as antigen-presenting cells that activate the adaptive immune system. larger pathogens through contact or by engulfing and then killing microorganisms. Innate cells are also important mediators in the activation of the adaptive immune system. 2 are covered in the remainder of this article.",Neutrophils.,100.0,100.0,100.0
5730b255396df919000962b1,"When was the Russian Policy ""Indigenization"" defunded?","within the Russian Federation and later the USSR, like Sultan Galiev and Vasyl Shakhrai, considered the Soviet Regime a renewed version of the Russian imperialism and colonialism. would distract Germany from its central interest, Europe itself. There are ""formal"" or ""informal"" imperialisms. ""Formal imperialism"" is defined as ""physical control or full-fledged colonial rule"". ""Informal imperialism"" is less direct; however, it is still a powerful form of dominance.","The Russian policy ""Indigenization"" was defunded in 1948.",0.0,0.0,0.0
5ad25c56d7d075001a428e9a,Lower rates of health and social problems are just two of examples of effects from what?,"lower, population-wide satisfaction and happiness tend to be higher. and thus have a more positive impact on economic growth. 2 are covered in the remainder of this article.",Increased access to education.,0.0,0.0,0.0
5a665338846392001a1e1ac7,Who believed that civil disobedience should only be used against governmental entities?,"country's highest court, it would not be civil disobedience, since the head of government would be acting in her or his capacity as public official rather than private citizen. of government still don't believe in the legitimacy of their particular government, or don't believe in the legitimacy of a particular law it has enacted. And still other civil disobedients, being anarchists, don't believe in the legitimacy of any government, and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others. But some activists have opted to enter a blind plea, pleading guilty without any plea agreement in place. Mohandas Gandhi pleaded guilty and told the court, ""I am here to . . . submit cheerfully to the highest penalty that can be inflicted upon me for what in law is a deliberate crime and what appears to me to be the highest duty of a citizen.""",Henry David Thoreau advocated this stance.,0.0,0.0,0.0
5726a14c708984140094cc54,In what does the doctrine of legitimate expectations have roots?,"certainty in European Union law. The legitimate expectation doctrine holds that and that ""those who act in good faith on the basis of law as it is or seems to be should not be frustrated in their expectations"". Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions. law in the Court of Justice of the European Union if the Treaty provisions have a direct effect and they are sufficiently clear, precise and unconditional.",It has roots in German administrative law tradition.,0.0,0.0,0.0
57293bc91d0469140077919f,When did Pachauri resign as chair of the IPCC?,"years studied, the actual temperature rise was near the top end of the range given by IPCC's 2001 projection, and the actual sea level rise was above the top of the range of the IPCC projection. quoted by the IPCC from the WWF report, which has misquoted its own source, an ICSI report ""Variations of Snow and Ice in the past and at present on a Global and Regional Scale"". group II, said that ""What began with a single unfortunate error over Himalayan glaciers has become a clamour without substance"" and the IPCC had investigated the other alleged mistakes, which were ""generally unfounded and also marginal to the assessment"".","Rajendra Pachauri resigned on February 24, 2015.",44.44444444444445,28.57142857142857,100.0
5acfe6eb77cf76001a6863c9, What don't supporters of Islamism believe their views reflect?,"that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims. socialist and nationalist politics ensued. Ba'athism, Arab socialism, and Arab nationalism suffered, and different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground. as calling for violent/offensive jihad or urging and conducting attacks on a religious basis.","Majority of Muslims, who reject extremist interpretations.",0.0,0.0,0.0
571c8198dd7acb1400e4c0d1,What material's weight gain during rusting was an early clue that philogiston theory was wrong?,"1 − xO, where x is usually around 0.05. 2O
3, in hematite and rust), and calcium carbonate (in limestone). The rest of the Earth's crust is also made of oxygen compounds, in particular various complex silicates (in silicate minerals). The Earth's mantle, of much larger mass than the crust, is largely composed of silicates of magnesium and iron. later became nitrogen in English, although it has kept the name in French and several other European languages.","Iron, whose weight increased due to rust formation.",0.0,0.0,0.0
5ad27abcd7d075001a42962d,How much water does the Rhine discharge at the French border?,"level, this flow of the Rhine water is clearly visible along the entire length of the lake. uplands. Most of Luxembourg and a very small part of Belgium also drain to the Rhine via the Moselle. As it approaches the Dutch border, the Rhine has an annual mean discharge of 2,290 m3/s (81,000 cu ft/s) and an average width of 400 m (1,300 ft). Sea in the Netherlands. The biggest city on the river Rhine is Cologne, Germany with a population of more than 1,050,000 people. It is the second-longest river in Central and Western Europe (after the Danube), at about 1,230 km (760 mi),[note 2][note 1] with an average discharge of about 2,900 m3/s (100,000 cu ft/s).",Approximately 400 cubic meters per second.,0.0,0.0,0.0
5a38c911a4b263001a8c191f,What country did Saudi Arabia invade in 1979?,"interested in spreading ""an idealized and systematized version of conservative tribal village customs"" under the label of Sharia to an entire country. Their ideology was also described as being influenced by Wahhabism, and the extremist jihadism of their guest Osama bin Laden. and Persian Gulf state allies. Zia-ul-Haq was killed in 1988 but Islamization remains an important element in Pakistani society. torture and mass imprisonment of the opposition, and an intensification of the long-running war in southern Sudan, once in power. The NIF regime also harbored Osama bin Laden for a time (before 9/11), and worked to unify Islamist opposition to the American attack on Iraq in the 1991 Gulf War.",North Yemen.,0.0,0.0,0.0
56e1fc57e3433e140042322f,Intractable problems lacking polynomial time solutions necessarily negate the practical efficacy of what type of algorithm?,"a ""good"" algorithm as one with running time bounded by a polynomial of the input size. but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems. the program would only be useful for very small instances and in that sense the intractability of a problem is somewhat independent of technological progress. Nevertheless, a polynomial time algorithm is not always practical. If its running time is, say, n15, it is unreasonable to consider it efficient and it is still useless except on small instances.",Exponential-time algorithms.,100.0,100.0,100.0
572ff5fcb2c2fd1400568657,What is the name for the smaller streams along the region northern Germany?,"from Beneden Merwede into Noord, and Dordtse Kil, which branches off from Oude Maas. crosses the 400 m wide river. Near Krefeld, the river crosses the Uerdingen line, the line which separates the areas where Low German and High German are spoken. part of the river water, and all of the traffic. In some places, there are large compensation pools, for example the huge Bassin de compensation de Plobsheim in Alsace.","These are called ""Bäche"" in German.",0.0,0.0,0.0
5a6696d0f038b7001ab0c020,Telstra started what in the early 1980s?,"used the network and modified PAD devices as infrastructure the name Datanet 1 was used for these services as well. Although this use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion. institutions, who maintained their connections to AUSTPAC up until the mid-late 1990s in some cases. Access can be via a dial-up terminal to a PAD, or, by linking a permanent X.25 node to the network.[citation needed] 1.5 Mbit/s (T1), and 45 Mbit/s (T3) that were constructed to support NSF's networking initiatives from 1985-1995. Initially created to link researchers to the nation's NSF-funded supercomputing centers, through further public funding and private industry partnerships it developed into a major part of the Internet backbone.",Telstra launched its mobile phone network.,0.0,0.0,0.0
5728128cff5b5019007d9c76,Supplies from Jacksonville were in support of which faction in the Civil War?,"Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Jefferson and others that Tarleton and his men were on their way to arrest him for crimes against the king; Francis Marion, and a number of other leaders of the American Revolution and later statesmen. County. The proposal was sent to Washington, D.C. with a strong advocate in Senator Milton Latham. However, the secession crisis following the election of Abraham Lincoln in 1860 led to the proposal never coming to a vote. had taken place for decades, leading to a brisk trade in European colonial captives from either side.",The Union.,0.0,0.0,0.0
57264cc6dd62a815002e80e6,When did the second edition of Gasquet's book come out?,"Catholic priest, Guyard de Moulin. A two-volume illustrated folio paraphrase version based on his manuscript, by Jean de Rély, was printed in Paris in 1487. in France became Catholics and were called ""new converts"". (Concerning medical substances) was used a basis for many medieval texts, and was built upon by many middle eastern scientists during the Islamic Golden Age. The title coined the term materia medica.","No information available on a ""Gasquet"" book.",0.0,0.0,0.0
5733fe73d058e614000b673e,What was the purpose of Loudoun's troops at Fort Henry?,"fear that the French, who had been exploring the area, might establish their own settlement and thereby challenge British rights to the continent. the Indians from stripping the prisoners of their valuables, which angered the Indians. in his absence when he planned to attack Fort Niagara. As a response, Shirley left garrisons at Oswego, Fort Bull, and Fort Williams (the latter two located on the Oneida Carry between the Mohawk River and Wood Creek at present-day Rome, New York). Supplies for use in the projected attack on Niagara were cached at Fort Bull.",To capture or defend Fort Henry during American Civil War.,15.384615384615383,10.0,33.33333333333333
572ff5fcb2c2fd140056865a,What is the translation of the old north branch of rhe Rhine?,"bij Duurstede, the Nederrijn changes its name and becomes the Lek. It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea. The Germanic populations of these lands seem in Roman times to have been scanty, and Roman subjects from the modern Alsace-Lorraine had drifted across the river eastwards. from Beneden Merwede into Noord, and Dordtse Kil, which branches off from Oude Maas.","The old north branch is called ""Altrhein"".",0.0,0.0,0.0
5710eca0a58dae1900cd6b3d,How many settlers original settled in Manakintown?,"prominent citizens dating back more than three centuries. migration, but quite a few arrived as late as 1700; thereafter, the numbers declined and only small groups arrived at a time. contributed to the founding of the modern Cajun population. (The French word ""Acadien"" evolved to ""Cadien"", then to ""Cajun"".)",Two Moravian families arrived in 1762.,0.0,0.0,0.0
57309564069b5314008321a8,What grew on a global scale as a result of imperialism?,"of domination and subordination organised with an imperial center and a periphery. and ideas that rationalized social, cultural, political, and economic control of other territories. as empires due to their political and economic authority over other nations.",Colonialism led to widespread growth of capitalism globally.,0.0,0.0,0.0
56e1ce08e3433e14004231a4,The complexity of problems often depends on what?,"2 are covered in the remainder of this article. bounded, some of these may be more powerful than others. complexity, circuit complexity, and decision tree complexity.",The complexity of problems often depends on their size.,15.384615384615385,12.5,20.0
5a838553e60761001a2eb759,How many rows of statocysts are there?,"disturbances created by the cilia, yet combs on the same row beat in the same Mexican wave style as the mechanically coordinated comb rows of cydippids and beroids. This may have enabled lobates to grow larger than cydippids and to have shapes that are less egg-like. a pair of long, slender tentacles, each housed in a sheath into which it can be withdrawn. Some species of cydippids have bodies that are flattened to various extents, so that they are wider in the plane of the tentacles. all the way along the comb rows. This forms a mechanical system for transmitting the beat rhythm from the combs to the balancers, via water disturbances created by the cilia.",There is one row.,0.0,0.0,0.0
5726e08e5951b619008f8112,What are new responsibilities pharmacy technicians now deal with?,"technicians while the pharmacist spends more time communicating with patients. Pharmacy technicians are now more dependent upon automation to assist them in their new role dealing with patients' prescriptions and patient safety issues. is growing quickly to meet the needs of major national and international patient information projects and health system interoperability goals. Pharmacists in this area are trained to participate in medication management system development, deployment and optimization. with patients, under the banner of ""senior care pharmacy.""","Electronic health records, medication management, and COVID protocols.",14.285714285714288,12.5,16.666666666666664
5acfe73c77cf76001a6863d3, What does a writer for the International Crisis Group think the concept of political Islam is not a creation of?,"socialist and nationalist politics ensued. Ba'athism, Arab socialism, and Arab nationalism suffered, and different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground. that Shia and other non-Wahhabi Muslims were infidels, etc. While this effort has by no means converted all, or even most Muslims to the Wahhabist interpretation of Islam, it has done much to overwhelm more moderate local interpretations, and has set the Saudi-interpretation of Islam as the ""gold standard"" of religion in minds of some or many Muslims. conception of 'political Islam'"" is a creation of Americans to explain the Iranian Islamic Revolution and apolitical Islam was a historical fluke of the ""short-lived era of the heyday of secular Arab nationalism between 1945 and 1970"", and it is quietist/non-political Islam, not Islamism, that requires explanation.","Western scholars, according to the International Crisis Group.",0.0,0.0,0.0
5ad25fcbd7d075001a428f8d,What is never identical across all nations and jurisdictions?,"2 are covered in the remainder of this article. voice of the people, this fact would not compel the obedience of individuals who disagree with what is being said. The majority may be powerful but it is not necessarily right. What, then, is the proper relationship between the individual and the government? Generals persuasively argued that Directives should create rights and duties for all citizens. The Court of Justice refused, but there are five large exceptions.","Laws, regulations, and tax codes vary greatly worldwide.",0.0,0.0,0.0
